run_id,symbols,BUY_START_TIME,BUY_END_TIME,RSI_MIN,RSI_MAX,MOMENTUM_RVOL_MIN,REQUIRE_BREAKOUT,ATR_STOP_MULTIPLE,ATR_EXTREME_PERCENT,MAX_HOLD_MINUTES,MAX_CAPITAL_PER_TRADE,MAX_POSITIONS,closed_trades,win_rate,profit_factor,expectancy,average_winner,average_loser,max_drawdown,sharpe,best_ticker,worst_ticker,best_time_of_day,worst_time_of_day,losing_streak,latest_regime,research_score
36,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,15:15,40.0,70.0,0.6,True,1.0,0.015,120,0.05,2,76,0.14473684210526316,0.055303402739890706,-0.9230060526314731,0.37332318181829555,-1.1423848461537418,0.002808920001328473,-0.39832683711601663,QQQ,XLF,20,15,17,RISK_OFF,0.6211079734389613
9,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1,46,0.17391304347826086,0.06963672239250418,-0.8368527173911964,0.36016593750013826,-1.0888566447367405,0.0015427943870450146,-0.2866327647401394,XLE,XLF,18,15,16,RISK_OFF,0.616720119488831
11,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,120,0.05,1,46,0.17391304347826086,0.06963672239250418,-0.8368527173911964,0.36016593750013826,-1.0888566447367405,0.0015427943870450146,-0.2866327647401394,XLE,XLF,18,15,16,RISK_OFF,0.616720119488831
35,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,15:15,40.0,70.0,0.6,True,1.0,0.015,120,0.05,1,72,0.1388888888888889,0.04761048014409041,-0.9232369097221189,0.3323025000001252,-1.1257432661289326,0.002661904340905115,-0.40947961987447634,QQQ,XLF,13,15,17,RISK_OFF,0.49096355081367005
33,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,15:15,40.0,70.0,0.6,True,1.0,0.015,60,0.05,1,72,0.1388888888888889,0.04761048014409041,-0.9232369097221189,0.3323025000001252,-1.1257432661289326,0.002661904340905115,-0.40947961987447634,QQQ,XLF,13,15,17,RISK_OFF,0.49096355081367005
4,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.6,True,1.0,0.015,120,0.05,2,59,0.1694915254237288,0.057777996985148225,-0.9381819067795528,0.33942850000011476,-1.198918724489689,0.002217092670892741,-0.34722315923235586,XLE,XLF,18,15,21,RISK_OFF,0.37250539217918854
2,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.6,True,1.0,0.015,60,0.05,2,59,0.1694915254237288,0.057777996985148225,-0.9381819067795528,0.33942850000011476,-1.198918724489689,0.002217092670892741,-0.34722315923235586,XLE,XLF,18,15,21,RISK_OFF,0.37250539217918854
1,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.6,True,1.0,0.015,60,0.05,1,55,0.16363636363636364,0.04886932975538667,-0.9238622727271664,0.2900838888890165,-1.1613734782607674,0.0020354809139119154,-0.34154573052205534,XLE,XLF,18,15,19,RISK_OFF,0.2793501109147849
3,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.6,True,1.0,0.015,120,0.05,1,55,0.16363636363636364,0.04886932975538667,-0.9238622727271664,0.2900838888890165,-1.1613734782607674,0.0020354809139119154,-0.34154573052205534,XLE,XLF,18,15,19,RISK_OFF,0.2793501109147849
17,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.6,True,1.0,0.015,60,0.05,1,124,0.18548387096774194,0.07394850868476967,-0.9601007056450461,0.41333760869577857,-1.2728638861385015,0.004765075252425609,-0.4900741160063097,XLRE,XLF,18,15,25,RISK_OFF,0.01430912877704138
19,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.6,True,1.0,0.015,120,0.05,1,124,0.18548387096774194,0.07394850868476967,-0.9601007056450461,0.41333760869577857,-1.2728638861385015,0.004765075252425609,-0.4900741160063097,XLRE,XLF,18,15,25,RISK_OFF,0.01430912877704138
87,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.6,False,1.0,0.015,120,0.05,1,88,0.10227272727272728,0.02860582974466656,-1.047344886363498,0.30157055555567464,-1.2010187974682138,0.003724190000000235,-0.45748765108351025,XLI,XLF,18,16,21,RISK_OFF,-0.085476588917067
85,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.6,False,1.0,0.015,60,0.05,1,88,0.10227272727272728,0.02860582974466656,-1.047344886363498,0.30157055555567464,-1.2010187974682138,0.003724190000000235,-0.45748765108351025,XLI,XLF,18,16,21,RISK_OFF,-0.085476588917067
88,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.6,False,1.0,0.015,120,0.05,2,89,0.10112359550561797,0.028133412912878176,-1.053478483145927,0.30157055555567464,-1.205921499999857,0.0037879193999999553,-0.4619629730219415,XLI,XLF,18,16,21,RISK_OFF,-0.11006375401710056
