timestamp,open,high,low,close,volume
2026-03-10 13:30:00+00:00,70.49,70.77,70.49,70.68,1349.0
2026-03-10 13:31:00+00:00,70.62,70.67,69.71,70.21,4161.0
2026-03-10 13:32:00+00:00,70.18,70.47,70.08,70.32,1622.0
2026-03-10 13:33:00+00:00,69.87,69.9,69.495,69.495,2772.0
2026-03-10 13:34:00+00:00,69.61,69.775,69.61,69.715,2996.0
2026-03-10 13:35:00+00:00,69.61,69.98,69.61,69.92,4613.0
2026-03-10 13:36:00+00:00,70.2,70.2,69.975,69.975,623.0
2026-03-10 13:37:00+00:00,70.11,70.11,69.57,69.61,1700.0
2026-03-10 13:38:00+00:00,69.52,69.54,69.29,69.54,1603.0
2026-03-10 13:39:00+00:00,69.45,69.52,69.35,69.35,422.0
2026-03-10 13:40:00+00:00,69.66,69.66,69.4,69.4,480.0
2026-03-10 13:41:00+00:00,69.46,69.46,69.295,69.295,790.0
2026-03-10 13:43:00+00:00,69.32,69.32,69.27,69.31,1041.0
2026-03-10 13:44:00+00:00,69.44,69.44,69.44,69.44,332.0
2026-03-10 13:45:00+00:00,69.33,69.79,69.32,69.79,1506.0
2026-03-10 13:46:00+00:00,70.06,70.46,70.06,70.46,1109.0
2026-03-10 13:47:00+00:00,70.55,70.55,70.41,70.425,1371.0
2026-03-10 13:48:00+00:00,70.38,70.53,70.38,70.46,882.0
2026-03-10 13:49:00+00:00,70.37,70.37,70.22,70.22,657.0
2026-03-10 13:50:00+00:00,70.35,70.35,70.35,70.35,665.0
2026-03-10 13:51:00+00:00,70.7,71.03,70.64,71.03,1978.0
2026-03-10 13:52:00+00:00,71.0,71.63,71.0,71.63,1873.0
2026-03-10 13:53:00+00:00,71.46,71.6,71.26,71.56,2831.0
2026-03-10 13:54:00+00:00,71.55,71.555,71.29,71.29,757.0
2026-03-10 13:55:00+00:00,71.34,71.51,71.26,71.51,882.0
2026-03-10 13:56:00+00:00,71.015,71.015,70.93,70.93,365.0
2026-03-10 13:57:00+00:00,70.94,71.12,70.94,71.12,464.0
2026-03-10 13:58:00+00:00,71.335,71.52,71.31,71.52,907.0
2026-03-10 13:59:00+00:00,71.52,71.52,71.52,71.52,537.0
2026-03-10 14:00:00+00:00,71.4,71.4,71.05,71.05,1447.0
2026-03-10 14:01:00+00:00,70.92,70.98,70.755,70.98,604.0
2026-03-10 14:02:00+00:00,71.15,71.49,71.15,71.47,800.0
2026-03-10 14:03:00+00:00,71.41,71.41,71.28,71.28,692.0
2026-03-10 14:04:00+00:00,71.07,71.25,71.07,71.21,550.0
2026-03-10 14:05:00+00:00,71.325,71.64,71.31,71.64,1496.0
2026-03-10 14:06:00+00:00,71.51,71.51,71.51,71.51,418.0
2026-03-10 14:07:00+00:00,71.69,71.69,71.43,71.43,352.0
2026-03-10 14:08:00+00:00,71.48,71.52,71.36,71.39,1587.0
2026-03-10 14:09:00+00:00,71.36,71.42,70.89,70.89,1114.0
2026-03-10 14:10:00+00:00,70.8,70.8,70.59,70.605,602.0
2026-03-10 14:12:00+00:00,70.695,70.73,70.54,70.56,978.0
2026-03-10 14:13:00+00:00,70.53,70.89,70.39,70.89,587.0
2026-03-10 14:14:00+00:00,70.99,71.09,70.87,71.02,1590.0
2026-03-10 14:15:00+00:00,71.01,71.25,71.01,71.25,367.0
2026-03-10 14:17:00+00:00,71.12,71.34,71.12,71.2,650.0
2026-03-10 14:18:00+00:00,71.28,71.28,71.01,71.11,506.0
2026-03-10 14:19:00+00:00,71.11,71.18,71.05,71.14,882.0
2026-03-10 14:20:00+00:00,71.34,71.34,71.12,71.25,557.0
2026-03-10 14:21:00+00:00,71.32,71.51,71.16,71.46,993.0
2026-03-10 14:22:00+00:00,71.42,71.52,71.42,71.52,251.0
2026-03-10 14:23:00+00:00,71.59,71.59,71.59,71.59,190.0
2026-03-10 14:24:00+00:00,71.65,71.65,71.16,71.19,1168.0
2026-03-10 14:25:00+00:00,71.19,71.36,71.09,71.36,2179.0
2026-03-10 14:26:00+00:00,71.605,71.605,71.605,71.605,509.0
2026-03-10 14:27:00+00:00,71.325,71.325,71.325,71.325,343.0
2026-03-10 14:28:00+00:00,71.15,71.15,71.14,71.14,250.0
2026-03-10 14:29:00+00:00,71.11,71.17,71.09,71.09,1100.0
2026-03-10 14:30:00+00:00,71.14,71.14,71.14,71.14,140.0
2026-03-10 14:31:00+00:00,71.455,71.455,71.2,71.2,1585.0
2026-03-10 14:32:00+00:00,71.33,71.33,71.33,71.33,444.0
2026-03-10 14:33:00+00:00,71.55,71.67,71.55,71.58,1159.0
2026-03-10 14:34:00+00:00,71.53,71.59,71.53,71.59,301.0
2026-03-10 14:35:00+00:00,71.25,71.25,71.25,71.25,399.0
2026-03-10 14:36:00+00:00,71.585,71.86,71.585,71.86,666.0
2026-03-10 14:37:00+00:00,71.86,71.97,71.84,71.895,1109.0
2026-03-10 14:38:00+00:00,72.32,72.37,72.32,72.37,501.0
2026-03-10 14:39:00+00:00,72.32,72.37,72.1,72.1,2378.0
2026-03-10 14:40:00+00:00,71.98,71.98,71.83,71.925,1846.0
2026-03-10 14:41:00+00:00,71.8,71.85,71.72,71.85,3176.0
2026-03-10 14:42:00+00:00,71.89,72.06,71.88,72.06,529.0
2026-03-10 14:43:00+00:00,71.965,72.15,71.965,72.15,806.0
2026-03-10 14:44:00+00:00,72.01,72.03,72.01,72.03,402.0
2026-03-10 14:46:00+00:00,71.835,71.835,71.835,71.835,221.0
2026-03-10 14:47:00+00:00,71.94,72.02,71.94,72.02,400.0
2026-03-10 14:48:00+00:00,71.91,71.91,71.9,71.9,544.0
2026-03-10 14:49:00+00:00,72.1,72.29,72.1,72.29,700.0
2026-03-10 14:50:00+00:00,72.39,72.48,72.39,72.405,613.0
2026-03-10 14:51:00+00:00,72.38,72.4,72.38,72.4,307.0
2026-03-10 14:52:00+00:00,72.28,72.28,72.2,72.2,712.0
2026-03-10 14:53:00+00:00,72.14,72.31,72.14,72.31,731.0
2026-03-10 14:54:00+00:00,72.35,72.35,72.33,72.33,321.0
2026-03-10 14:55:00+00:00,72.26,72.29,72.24,72.29,1945.0
2026-03-10 14:56:00+00:00,72.3,72.43,72.3,72.43,337.0
2026-03-10 14:57:00+00:00,72.385,72.47,72.385,72.47,1041.0
2026-03-10 14:58:00+00:00,72.33,72.56,72.29,72.56,1843.0
2026-03-10 14:59:00+00:00,72.555,72.555,72.43,72.43,3748.0
2026-03-10 15:00:00+00:00,72.66,72.825,72.57,72.825,1905.0
2026-03-10 15:01:00+00:00,72.695,72.695,72.5,72.54,1931.0
2026-03-10 15:03:00+00:00,72.39,72.39,72.39,72.39,366.0
2026-03-10 15:04:00+00:00,72.59,72.59,72.59,72.59,200.0
2026-03-10 15:05:00+00:00,72.885,72.885,72.68,72.68,1001.0
2026-03-10 15:06:00+00:00,72.49,72.49,72.49,72.49,506.0
2026-03-10 15:07:00+00:00,72.28,72.3,72.26,72.3,1507.0
2026-03-10 15:08:00+00:00,72.18,72.18,72.14,72.14,325.0
2026-03-10 15:09:00+00:00,72.16,72.27,72.16,72.27,366.0
2026-03-10 15:10:00+00:00,72.35,72.585,72.35,72.585,519.0
2026-03-10 15:11:00+00:00,72.505,72.505,72.49,72.49,371.0
2026-03-10 15:12:00+00:00,72.545,72.545,72.545,72.545,400.0
2026-03-10 15:13:00+00:00,72.56,72.59,72.37,72.37,1098.0
2026-03-10 15:15:00+00:00,72.395,72.395,72.325,72.325,275.0
2026-03-10 15:16:00+00:00,72.25,72.25,72.2,72.2,420.0
2026-03-10 15:17:00+00:00,72.2,72.27,72.16,72.16,1141.0
2026-03-10 15:18:00+00:00,72.17,72.24,72.17,72.24,453.0
2026-03-10 15:19:00+00:00,72.3,72.32,72.23,72.23,650.0
2026-03-10 15:20:00+00:00,72.31,72.33,72.27,72.27,518.0
2026-03-10 15:21:00+00:00,72.13,72.13,71.99,71.99,457.0
2026-03-10 15:22:00+00:00,71.88,71.9,71.88,71.9,757.0
2026-03-10 15:23:00+00:00,71.65,71.69,71.65,71.69,353.0
2026-03-10 15:24:00+00:00,71.7,71.7,71.695,71.695,363.0
2026-03-10 15:25:00+00:00,71.34,71.52,71.34,71.505,501.0
2026-03-10 15:26:00+00:00,71.63,71.63,71.63,71.63,305.0
2026-03-10 15:27:00+00:00,71.56,71.56,71.56,71.56,122.0
2026-03-10 15:28:00+00:00,71.51,71.51,71.39,71.41,930.0
2026-03-10 15:29:00+00:00,71.32,71.32,71.12,71.12,562.0
2026-03-10 15:30:00+00:00,71.45,71.5,71.45,71.5,560.0
2026-03-10 15:31:00+00:00,71.57,71.57,71.55,71.55,400.0
2026-03-10 15:33:00+00:00,71.46,71.5,71.46,71.5,227.0
