timestamp,open,high,low,close,volume
2025-09-03 13:37:00+00:00,93.98,93.99,93.98,93.99,1260.0
2025-09-03 13:40:00+00:00,93.9,93.9,93.88,93.88,300.0
2025-09-03 13:42:00+00:00,93.85,93.85,93.85,93.85,100.0
2025-09-03 13:44:00+00:00,93.83,93.83,93.83,93.83,200.0
2025-09-03 13:46:00+00:00,93.69,93.73,93.69,93.73,600.0
2025-09-03 13:48:00+00:00,93.74,93.74,93.74,93.74,1211.0
2025-09-03 13:49:00+00:00,93.71,93.71,93.71,93.71,100.0
2025-09-03 13:50:00+00:00,93.71,93.71,93.71,93.71,100.0
2025-09-03 13:53:00+00:00,93.62,93.62,93.62,93.62,100.0
2025-09-03 13:57:00+00:00,93.59,93.59,93.59,93.59,100.0
2025-09-03 13:58:00+00:00,93.545,93.545,93.54,93.54,1100.0
2025-09-03 14:02:00+00:00,93.535,93.535,93.535,93.535,100.0
2025-09-03 14:03:00+00:00,93.58,93.58,93.58,93.58,310.0
2025-09-03 14:04:00+00:00,93.55,93.55,93.55,93.55,100.0
2025-09-03 14:10:00+00:00,93.67,93.67,93.67,93.67,200.0
2025-09-03 14:11:00+00:00,93.68,93.7,93.68,93.7,303.0
2025-09-03 14:22:00+00:00,93.69,93.69,93.69,93.69,100.0
2025-09-03 14:30:00+00:00,93.62,93.62,93.62,93.62,100.0
2025-09-03 14:31:00+00:00,93.64,93.64,93.64,93.64,400.0
2025-09-03 14:32:00+00:00,93.61,93.61,93.61,93.61,200.0
2025-09-03 14:37:00+00:00,93.64,93.66,93.64,93.655,1014.0
2025-09-03 14:38:00+00:00,93.65,93.65,93.645,93.645,549.0
2025-09-03 14:39:00+00:00,93.66,93.66,93.66,93.66,100.0
2025-09-03 14:41:00+00:00,93.69,93.69,93.69,93.69,300.0
2025-09-03 14:42:00+00:00,93.71,93.71,93.71,93.71,100.0
2025-09-03 14:46:00+00:00,93.695,93.695,93.695,93.695,100.0
2025-09-03 14:54:00+00:00,93.765,93.765,93.765,93.765,200.0
2025-09-03 15:00:00+00:00,93.8,93.8,93.8,93.8,600.0
2025-09-03 15:03:00+00:00,93.85,93.85,93.85,93.85,201.0
2025-09-03 15:06:00+00:00,93.86,93.86,93.86,93.86,200.0
2025-09-03 15:23:00+00:00,93.82,93.82,93.82,93.82,395.0
2025-09-03 15:25:00+00:00,93.82,93.82,93.82,93.82,230.0
2025-09-03 15:30:00+00:00,93.78,93.78,93.78,93.78,400.0
2025-09-03 15:35:00+00:00,93.76,93.76,93.76,93.76,200.0
2025-09-03 15:40:00+00:00,93.755,93.755,93.755,93.755,1380.0
2025-09-03 15:41:00+00:00,93.75,93.75,93.75,93.75,200.0
2025-09-03 15:43:00+00:00,93.71,93.71,93.71,93.71,200.0
