timestamp,open,high,low,close,volume
2025-09-03 13:38:00+00:00,119.08,119.08,119.08,119.08,200.0
2025-09-03 13:41:00+00:00,119.02,119.02,119.02,119.02,404.0
2025-09-03 13:45:00+00:00,119.08,119.08,119.08,119.08,110.0
2025-09-03 14:03:00+00:00,118.62,118.62,118.62,118.62,200.0
2025-09-03 14:04:00+00:00,118.61,118.61,118.61,118.61,200.0
2025-09-03 14:14:00+00:00,118.37,118.37,118.37,118.37,270.0
2025-09-03 14:16:00+00:00,118.43,118.43,118.43,118.43,517.0
2025-09-03 14:34:00+00:00,118.58,118.58,118.54,118.54,200.0
2025-09-03 14:35:00+00:00,118.49,118.49,118.49,118.49,157.0
2025-09-03 14:37:00+00:00,118.52,118.52,118.52,118.52,100.0
2025-09-03 14:38:00+00:00,118.51,118.51,118.47,118.5,500.0
2025-09-03 14:40:00+00:00,118.56,118.56,118.56,118.56,200.0
2025-09-03 14:41:00+00:00,118.58,118.58,118.58,118.58,100.0
2025-09-03 14:42:00+00:00,118.6,118.62,118.6,118.62,200.0
2025-09-03 14:43:00+00:00,118.63,118.63,118.63,118.63,100.0
2025-09-03 14:48:00+00:00,118.63,118.64,118.63,118.64,300.0
2025-09-03 14:51:00+00:00,118.63,118.63,118.63,118.63,100.0
2025-09-03 14:54:00+00:00,118.61,118.61,118.61,118.61,122.0
2025-09-03 14:55:00+00:00,118.61,118.61,118.59,118.59,200.0
2025-09-03 14:58:00+00:00,118.65,118.65,118.65,118.65,200.0
2025-09-03 15:00:00+00:00,118.66,118.66,118.66,118.66,142.0
2025-09-03 15:02:00+00:00,118.69,118.69,118.68,118.68,311.0
2025-09-03 15:04:00+00:00,118.7,118.71,118.7,118.71,202.0
2025-09-03 15:05:00+00:00,118.67,118.67,118.64,118.64,300.0
2025-09-03 15:08:00+00:00,118.7,118.7,118.65,118.65,400.0
2025-09-03 15:09:00+00:00,118.65,118.65,118.65,118.65,300.0
2025-09-03 15:12:00+00:00,118.62,118.62,118.59,118.59,200.0
2025-09-03 15:13:00+00:00,118.57,118.57,118.57,118.57,100.0
2025-09-03 15:15:00+00:00,118.59,118.6,118.59,118.59,700.0
2025-09-03 15:16:00+00:00,118.55,118.55,118.55,118.55,100.0
2025-09-03 15:17:00+00:00,118.54,118.54,118.54,118.54,100.0
