run_id,symbols,BUY_START_TIME,BUY_END_TIME,RSI_MIN,RSI_MAX,MOMENTUM_RVOL_MIN,REQUIRE_BREAKOUT,ATR_STOP_MULTIPLE,ATR_EXTREME_PERCENT,MAX_HOLD_MINUTES,MAX_CAPITAL_PER_TRADE,MAX_POSITIONS,closed_trades,win_rate,profit_factor,expectancy,average_winner,average_loser,max_drawdown,sharpe,best_ticker,worst_ticker,best_time_of_day,worst_time_of_day,losing_streak,latest_regime,research_score,good_setup_good_outcome,bad_setup_bad_outcome,worked_but_review,failed_or_unclear
4,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,2,20,0.4,0.3786355791790401,-0.5025749999999259,0.765624687500047,-1.3480414583332412,0.0006248639102129517,-0.20313562617884778,XLI,XLF,13,15,6,CHOP,-0.9274389102128777,6,12,2,0
3,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1,20,0.3,0.250404782645769,-0.6819423749999171,0.7593504166667154,-1.299639285714188,0.0007080890160111728,-0.30878548754826846,XLE,XLU,13,15,6,CHOP,-1.1900313910110898,5,14,1,0
1,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1,15,0.13333333333333333,0.0503118187816902,-1.287874833333252,0.5117099999999937,-1.5647340384614437,0.0008905356136042577,-0.4445633788192904,XLI,XLF,14,15,8,CHOP,-2.0284104469375097,1,13,1,0
2,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2,16,0.125,0.04250949840686102,-1.44072937499993,0.5117099999999937,-1.7196492857142047,0.000978075000000099,-0.5176542638214119,XLI,XLE,14,15,9,CHOP,-2.258804375000029,1,14,1,0
