timestamp,symbol,side,strategy_name,entry_price,vwap_distance,opening_range_high,opening_range_low,breakout_strength,relative_volume,volume_spike,atr,spy_trend,qqq_trend,market_regime_on,hour_of_day,minute_of_day,day_of_week,return_1m,return_5m,return_15m,spread_pct,missing_fields,candidate_id,label,realized_pnl,r_multiple,max_favorable_excursion,max_adverse_excursion,exit_reason
2025-09-08T13:37:00+00:00,AAPL,LONG,opening_range_vwap_momentum_v1,239.85,0.0010306282592996202,239.8,238.77,0.00020850708924096306,1.8297060331710926,1.8297060331710926,0.3424436682942016,1.0,1.0,1.0,13.0,817.0,0.0,-0.0003750937734433579,0.0021308598646276877,0.0017960070169575904,0.14383989993746044,[],,0,-0.959399999999988,-1.0,0.14500000000001023,0.9899999999999807,stop
2025-09-08T14:08:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,498.83,0.0008266996460043162,498.38,495.08,0.0009029254785504809,2.3623844766007585,2.3623844766007585,0.4333306973525916,1.0,1.0,1.0,14.0,848.0,0.0,0.00022056464549247146,-0.00022046739086867273,-0.0016811095322913916,0.08620171200609562,[],,1,3.1499999999999204,1.4999999999999865,3.25,1.6800000000000068,target
2025-09-12T14:02:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,507.28,0.001426651972928716,506.52,504.0,0.001500434336255214,1.6953939323356433,1.6953939323356433,0.7066165695749654,1.0,1.0,1.0,14.0,842.0,4.0,0.0003746869392020624,-0.0005910398360849944,-0.0006993213627902728,0.12123482100615225,[],,1,3.043679999999995,1.500000000000014,3.0500000000000114,0.7699999999999818,target
2025-09-12T14:28:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,507.145,0.0008289608653912381,506.52,504.0,0.0012339098159993684,1.8247506615102789,1.8247506615102789,0.35546891610241105,1.0,1.0,1.0,14.0,868.0,4.0,0.0002662669375357307,0.0008387275023680196,0.0002859960552268337,0.03943645308540726,[],,1,3.0428699999999935,1.500000000000014,3.1000000000000227,0.0,target
2025-09-19T14:22:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,512.59,0.0002807009741392387,512.15,510.44,0.00085912330371972,2.0234545815941165,2.0234545815941165,0.3538996419099206,1.0,1.0,1.0,14.0,862.0,4.0,0.0009372986272480066,0.0005074854097943948,-0.0028013929148102967,0.08974033828206487,[],,0,-2.050360000000012,-1.0,1.3399999999999181,2.090000000000032,stop
2025-09-19T14:26:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,512.69,0.0004562020720276851,512.15,510.44,0.0010543786000196764,2.065161621344279,2.065161621344279,0.33703808792860335,1.0,1.0,1.0,14.0,866.0,4.0,-0.0005458408873812992,0.0010543786000196675,-0.0009937646141854328,0.08094560065535968,[],,0,-2.0507600000000252,-1.0,1.2399999999998954,2.1900000000000546,stop
2025-09-19T14:29:00+00:00,TSLA,LONG,opening_range_vwap_momentum_v1,427.1,0.0010094366770932784,425.36,421.79,0.00409065262365998,1.682423881485893,1.682423881485893,0.5925502758260921,1.0,1.0,1.0,14.0,869.0,4.0,0.00026933030434328487,0.0019588753474952814,-0.0010758723921788782,0.08194802154062812,[],,0,-3.5249999999999773,-1.0,0.18999999999999773,3.6100000000000136,stop
2025-10-08T14:15:00+00:00,AMD,LONG,opening_range_vwap_momentum_v1,220.27,0.003778501469755368,212.92,210.78,0.03452000751455957,1.6475791876724055,1.6475791876724055,0.7064750426222982,1.0,1.0,1.0,14.0,855.0,2.0,0.0006359878253758833,-0.007569272358639245,-0.004519365481086446,0.12257683751759668,[],,1,12.630000000000024,1.5,12.939999999999998,1.0400000000000205,target
2025-10-17T13:38:00+00:00,META,LONG,opening_range_vwap_momentum_v1,710.49,0.0008220132129436317,709.13,706.44,0.0019178429907069417,1.7992091388400704,1.7992091388400704,0.9763445305282292,1.0,1.0,1.0,13.0,818.0,4.0,-0.001012359218796166,0.004978994865411535,-0.0013633935850223544,0.0689664879167911,[],,1,4.262939999999958,1.5,4.309999999999945,2.060000000000059,target
2025-10-22T13:54:00+00:00,AMD,LONG,opening_range_vwap_momentum_v1,237.96,0.0023591782176941895,237.81,235.85,0.000630755645263049,2.500896103231092,2.500896103231092,0.4860458345672209,1.0,1.0,1.0,13.0,834.0,2.0,0.00031527839081912923,-0.001217208814270676,0.00736601473202958,0.10505967389477222,[],,1,1.6950000000000216,1.4999999999999873,2.009999999999991,0.21000000000000796,target
2025-11-04T15:25:00+00:00,META,LONG,opening_range_vwap_momentum_v1,636.22,0.0016977169351593416,636.165,626.45,8.645555791353449e-05,2.3695862046006857,2.3695862046006857,1.006543335721736,1.0,1.0,1.0,15.0,925.0,1.0,0.0013062843293096815,9.43158953723433e-05,-0.004537489047440224,0.09823645908647952,[],,0,-4.912500000000023,-1.0,2.5149999999999864,4.94500000000005,stop
2025-11-14T14:47:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,501.655,0.0021930655367910015,500.46,497.61,0.0023878032210366325,1.6517736986596327,1.6517736986596327,0.9314676559916185,1.0,1.0,1.0,14.0,887.0,4.0,-0.00031884260135717213,0.001387336314276677,0.004374637115342139,0.13455462419392042,[],,1,3.930000000000007,1.5,3.9700000000000273,0.4199999999999591,target
2025-11-28T15:20:00+00:00,AMD,LONG,opening_range_vwap_momentum_v1,216.9,0.0024576569425071803,216.55,214.21,0.0016162549064880826,1.6674855943181313,1.6674855943181313,0.4354546496672887,1.0,1.0,1.0,15.0,920.0,4.0,0.0008305647840531893,-0.0014731608507503324,-0.0017718664426904507,0.13370216689718398,[],,0,-1.5200000000000102,-1.0,0.6500000000000057,3.265000000000015,stop
2025-12-24T15:11:00+00:00,META,LONG,opening_range_vwap_momentum_v1,666.07,0.0006147360689243822,665.98,662.59,0.00013513919336921804,2.078427136221238,2.078427136221238,0.4258759999213731,1.0,1.0,1.0,15.0,911.0,2.0,7.507282063601295e-05,9.759686488841623e-05,-0.0008700217505436258,0.0210188118365917,[],,0,-2.6642799999999625,-1.0,2.659999999999968,2.6800000000000637,stop
2025-12-30T15:01:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,488.38,0.0009771007663932432,487.76,485.62,0.0012711169427587431,3.333951189372876,3.333951189372876,0.3815008014573385,1.0,1.0,1.0,15.0,901.0,1.0,0.0002765005273990262,-0.0005934475208219103,0.0026072139763091418,0.052213440353821916,[],,0,-1.953520000000026,-1.0,1.2749999999999773,2.269999999999982,stop
2026-01-02T14:59:00+00:00,NVDA,LONG,opening_range_vwap_momentum_v1,191.74,0.0010529903095344924,191.21,189.59,0.00277182155744993,1.7008841244076602,1.7008841244076602,0.34999455707178734,1.0,1.0,1.0,14.0,899.0,4.0,-0.0013021511537059105,-0.003067644153278204,0.0001564863596057453,0.1303848962136226,[],,0,-1.3400000000000034,-1.0,0.4549999999999841,1.7600000000000193,stop
2026-01-12T15:04:00+00:00,AMZN,LONG,opening_range_vwap_momentum_v1,247.81,0.0007026709932516977,247.74,246.28,0.0002825542907887026,1.7477697636898548,1.7477697636898548,0.32561807196724385,1.0,1.0,1.0,15.0,904.0,0.0,-0.0005847835292694947,-0.0006452393434689396,0.0022851827135028646,0.11097211573383063,[],,0,-0.9912400000000048,-1.0,1.1099999999999852,1.009999999999991,stop
2026-01-12T15:20:00+00:00,AMZN,LONG,opening_range_vwap_momentum_v1,247.95,0.0011475071683073434,247.74,246.28,0.0008476628723661077,1.5724582577781243,1.5724582577781243,0.2556494453540888,1.0,1.0,1.0,15.0,920.0,0.0,0.00024204284158302336,0.001373127095028348,0.0008880636176482604,0.07662835249042055,[],,0,-0.991800000000012,-1.0,0.9699999999999989,1.0549999999999784,stop
2026-01-20T15:24:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,453.32,0.0012645135076675364,452.0,449.43,0.0029203539823008696,2.317134768768134,2.317134768768134,0.5540736807037581,1.0,1.0,1.0,15.0,924.0,1.0,-0.0012998171443678874,0.002022524065826037,0.00027581945961441257,0.13787170210888555,[],,0,-2.6049999999999613,-1.0,3.454999999999984,2.819999999999993,stop
2026-01-26T14:41:00+00:00,NVDA,LONG,opening_range_vwap_momentum_v1,188.8,0.001909191382395911,188.3,187.115,0.002655337227827934,2.830612130393312,2.830612130393312,0.37505959860619575,1.0,1.0,1.0,14.0,881.0,0.0,0.0009542996500901957,-0.0007938608097378674,0.006423412137850137,0.14300847457626154,[],,0,-1.0925000000000011,-1.0,0.3149999999999977,1.2700000000000102,stop
2026-01-26T15:00:00+00:00,AAPL,LONG,opening_range_vwap_momentum_v1,252.71,0.002127322743201436,251.84,249.885,0.003454574332909802,2.0213932604913674,2.0213932604913674,0.42769360399523637,1.0,1.0,1.0,15.0,900.0,0.0,-0.00019781611014391132,-0.001856386760407558,-0.0014422601995455198,0.12662735942385406,[],,1,2.7712499999999807,1.4999999999999922,2.7750000000000057,0.020000000000010232,target
2026-01-27T15:22:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,477.67,0.0014295559925662858,477.63,473.28,8.374683332290782e-05,1.7114361455610552,1.7114361455610552,0.5174269960359889,1.0,1.0,1.0,15.0,922.0,1.0,2.0935393375998146e-05,0.002644780756071441,-0.00046035698591717633,0.05652437875520376,[],,1,3.3225000000000477,1.5,3.359999999999957,1.759999999999991,target
2026-02-06T14:39:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,399.29,0.003182625490129458,398.53,393.81,0.0019070082553384884,2.4935913505470597,2.4935913505470597,1.119408676222568,1.0,1.0,1.0,14.0,879.0,4.0,-0.0005506745763559362,0.005641606850522729,0.01435321613657159,0.13524005109067683,[],,0,-3.1200000000000614,-1.0,1.0299999999999727,3.6000000000000227,stop
2026-02-06T14:55:00+00:00,AAPL,LONG,opening_range_vwap_momentum_v1,279.92,0.0024886958774704778,279.41,277.11,0.0018252746859453522,1.6288006210376504,1.6288006210376504,0.5286487331318941,1.0,1.0,1.0,14.0,895.0,4.0,-0.00017859056327462763,8.931920898924695e-05,0.0003931239055072755,0.12324949985709145,[],,0,-1.660000000000025,-1.0,0.9599999999999795,1.6800000000000068,stop
2026-02-09T14:57:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,406.74,0.0030631448306632737,405.74,400.88,0.0024646325232907775,2.0532643433267386,2.0532643433267386,0.9142568913543426,1.0,1.0,1.0,14.0,897.0,0.0,-0.0010069998771951028,0.001181509378230805,-0.007612355438442409,0.12169936568815572,[],,1,5.144999999999982,1.4999999999999918,5.189999999999998,0.0,target
2026-02-20T14:54:00+00:00,MSFT,LONG,opening_range_vwap_momentum_v1,397.215,0.0005631628259037623,396.7,395.32,0.0012982102344340468,1.7917218412806628,1.7917218412806628,0.49472580654282694,1.0,1.0,1.0,14.0,894.0,4.0,-0.0001384448863493981,-0.0005535496370476789,0.00044076163610706764,0.0704907921402698,[],,1,2.383290000000045,1.500000000000018,2.455000000000041,1.204999999999984,target
